iter	Logloss
0	0.6928125313
1	0.6924292456
2	0.6919738215
3	0.6918401211
4	0.6915352931
5	0.6911050064
6	0.690795686
7	0.6905432254
8	0.6902272306
9	0.6902246964
10	0.6899620786
11	0.6896649721
12	0.6892490329
13	0.6889684644
14	0.6885563718
15	0.6881368632
16	0.687968519
17	0.6876925562
18	0.6874688714
19	0.6872249454
20	0.6868535882
21	0.6865068569
22	0.6860713887
23	0.6857699769
24	0.6854027207
25	0.6851738297
26	0.6848010125
27	0.6844938307
28	0.6844620765
29	0.684187116
30	0.6839642349
31	0.6836755015
32	0.6834711365
33	0.6831726437
34	0.6830191134
35	0.6827367324
36	0.6824092033
37	0.682373456
38	0.6822793438
39	0.6820396217
40	0.6816915173
41	0.6815876813
42	0.6813989744
43	0.6812399439
44	0.6810342048
45	0.6807430355
46	0.6804768146
47	0.680239978
48	0.6801076764
49	0.6797433487
50	0.679488384
51	0.679234151
