iter	Passed	Remaining
0	140	42139
1	165	24610
2	188	18706
3	210	15576
4	232	13698
5	254	12463
6	275	11515
7	295	10776
8	314	10157
9	337	9774
10	358	9414
11	378	9082
12	400	8849
13	423	8644
14	444	8448
15	462	8216
16	480	8000
17	498	7814
18	517	7649
19	533	7473
20	552	7338
21	569	7200
22	589	7097
23	607	6985
24	626	6889
25	644	6789
26	663	6713
27	684	6648
28	703	6574
29	722	6506
30	744	6464
31	764	6406
32	788	6377
33	812	6353
34	839	6355
35	867	6361
36	894	6360
37	920	6345
38	944	6322
39	968	6295
40	991	6261
41	1014	6230
42	1036	6195
43	1059	6162
44	1081	6128
45	1103	6095
46	1126	6061
47	1147	6026
48	1170	5997
49	1190	5954
50	1210	5909
51	1231	5872
52	1251	5832
53	1271	5794
54	1294	5764
55	1314	5725
56	1337	5702
57	1360	5677
58	1382	5645
59	1405	5620
60	1426	5590
61	1449	5564
62	1474	5547
63	1498	5527
64	1519	5494
65	1539	5458
66	1559	5424
67	1578	5385
68	1599	5355
69	1620	5323
70	1643	5299
71	1664	5271
72	1685	5241
73	1706	5211
74	1725	5177
75	1744	5141
76	1763	5107
77	1783	5075
78	1803	5044
79	1823	5014
80	1842	4980
81	1860	4946
82	1879	4914
83	1898	4882
84	1919	4854
85	1939	4826
86	1958	4795
87	1980	4771
88	2002	4746
89	2021	4717
90	2042	4691
91	2063	4665
92	2083	4637
93	2100	4603
94	2119	4572
95	2141	4550
96	2160	4521
97	2180	4494
98	2199	4465
99	2218	4437
100	2239	4413
101	2260	4387
102	2277	4356
103	2296	4327
104	2316	4302
105	2336	4276
106	2355	4248
107	2373	4218
108	2391	4189
109	2409	4161
110	2428	4134
111	2447	4107
112	2465	4080
113	2483	4052
114	2502	4024
115	2519	3996
116	2545	3981
117	2570	3964
118	2599	3953
119	2630	3945
120	2656	3929
121	2683	3915
122	2710	3900
123	2733	3880
124	2757	3860
125	2777	3835
126	2795	3808
127	2812	3779
128	2832	3754
129	2850	3727
130	2871	3704
131	2889	3677
132	2910	3654
133	2930	3630
134	2948	3603
135	2965	3575
136	2984	3551
137	3004	3527
138	3022	3500
139	3039	3474
140	3057	3447
141	3076	3423
142	3096	3399
143	3114	3373
144	3132	3348
145	3149	3321
146	3166	3295
147	3185	3272
148	3203	3246
149	3221	3221
150	3241	3198
151	3259	3173
152	3277	3149
153	3295	3124
154	3314	3100
155	3332	3076
156	3349	3050
157	3366	3025
158	3385	3002
159	3402	2977
160	3420	2952
161	3438	2929
162	3456	2904
163	3474	2881
164	3492	2857
165	3509	2833
166	3527	2809
167	3545	2786
168	3562	2761
169	3580	2737
170	3598	2714
171	3618	2693
172	3636	2669
173	3655	2647
174	3673	2624
175	3693	2602
176	3710	2578
177	3728	2555
178	3749	2534
179	3768	2512
180	3787	2490
181	3805	2467
182	3823	2444
183	3841	2421
184	3858	2398
185	3877	2376
186	3892	2352
187	3909	2328
188	3926	2306
189	3942	2282
190	3958	2258
191	3976	2236
192	3994	2214
193	4010	2191
194	4026	2168
195	4042	2144
196	4057	2121
197	4072	2097
198	4087	2074
199	4101	2050
200	4117	2027
201	4132	2004
202	4148	1982
203	4163	1959
204	4178	1936
205	4193	1913
206	4208	1890
207	4224	1868
208	4238	1845
209	4254	1823
210	4268	1800
211	4282	1777
212	4296	1755
213	4310	1732
214	4323	1709
215	4339	1687
216	4354	1665
217	4368	1643
218	4384	1621
219	4398	1599
220	4412	1577
221	4428	1555
222	4443	1534
223	4458	1512
224	4474	1491
225	4489	1470
226	4504	1448
227	4519	1427
228	4535	1406
229	4549	1384
230	4566	1363
231	4581	1342
232	4597	1321
233	4612	1301
234	4628	1280
235	4643	1259
236	4659	1238
237	4677	1218
238	4693	1198
239	4710	1177
240	4726	1157
241	4747	1137
242	4765	1117
243	4781	1097
244	4798	1077
245	4816	1057
246	4832	1036
247	4848	1016
248	4868	997
249	4888	977
250	4907	957
251	4925	938
252	4944	918
253	4964	899
254	4983	879
255	5001	859
256	5019	839
257	5036	819
258	5056	800
259	5074	780
260	5095	761
261	5114	741
262	5134	722
263	5153	702
264	5170	682
265	5189	663
266	5209	643
267	5227	624
268	5246	604
269	5265	585
270	5283	565
271	5300	545
272	5319	526
273	5337	506
274	5355	486
275	5372	467
276	5389	447
277	5406	427
278	5424	408
279	5441	388
280	5458	369
281	5475	349
282	5493	329
283	5510	310
284	5527	290
285	5545	271
286	5561	251
287	5580	232
288	5597	213
289	5614	193
290	5631	174
291	5649	154
292	5666	135
293	5683	115
294	5701	96
295	5719	77
296	5736	57
297	5754	38
298	5771	19
299	5790	0
